accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0.5111940503120422,0.5372183322906494,0.690653920173645,0.5077866911888123,0.7299864292144775,0.6087499856948853,0.5926171541213989,0.6849715113639832,0.5188888907432556,0.2920575439929962
0.5641112327575684,0.5893858671188354,0.6819710731506348,0.5796124935150146,0.4667571187019348,0.590499997138977,0.6008110046386719,0.6751752495765686,0.4880000054836273,0.49593496322631836
0.5987110137939453,0.6292286515235901,0.6692215800285339,0.6005528569221497,0.5895522236824036,0.6237499713897705,0.6249278783798218,0.6524077653884888,0.5530474185943604,0.3064415156841278
0.617367684841156,0.6439520120620728,0.6605339646339417,0.642504096031189,0.5291723012924194,0.6324999928474426,0.6395008563995361,0.6528499126434326,0.5471146702766418,0.468417763710022
0.6241519451141357,0.6570321917533875,0.6566528081893921,0.631465494632721,0.5963364839553833,0.6327499747276306,0.6473492383956909,0.644019603729248,0.5529316067695618,0.42464038729667664
0.630257785320282,0.664928674697876,0.6523419618606567,0.6432836055755615,0.5848032832145691,0.6367499828338623,0.6530065536499023,0.6520017981529236,0.5461441278457642,0.5403376817703247
0.6411126255989075,0.6757558584213257,0.6467596292495728,0.6543026566505432,0.5983718037605286,0.5950000286102295,0.6525672674179077,0.6856277585029602,0.49530622363090515,0.6929330825805664
0.6400949954986572,0.6816869974136353,0.6420959234237671,0.6497461795806885,0.6078697443008423,0.6439999938011169,0.6673246026039124,0.639388918876648,0.5723738670349121,0.4327704906463623
0.6383988857269287,0.6872400045394897,0.6394668221473694,0.6508875489234924,0.5970149040222168,0.6457499861717224,0.6735626459121704,0.6393596529960632,0.5594771504402161,0.535334587097168
0.649592936038971,0.6920232772827148,0.636746883392334,0.6569395065307617,0.626187264919281,0.6527500152587891,0.6778444051742554,0.6357842683792114,0.5728155374526978,0.5165728330612183
0.6475576758384705,0.6905088424682617,0.6369397044181824,0.657952070236206,0.614654004573822,0.6370000243186951,0.6647114753723145,0.6461330056190491,0.5456805229187012,0.5490931868553162
0.6411126255989075,0.6893934607505798,0.6368038654327393,0.6492109298706055,0.6139755845069885,0.6087499856948853,0.6631337404251099,0.67204350233078,0.5081417560577393,0.663539707660675
0.619742214679718,0.6528716087341309,0.6603434681892395,0.6263421773910522,0.5936228036880493,0.6234999895095825,0.6501748561859131,0.6566042900085449,0.5281988978385925,0.5447154641151428
0.6441655158996582,0.6782884001731873,0.6435025334358215,0.6456477046012878,0.639077365398407,0.6320000290870667,0.6606913208961487,0.6606054902076721,0.5364314317703247,0.5847404599189758
0.6282225251197815,0.6733205914497375,0.6469349265098572,0.6549180150032043,0.5420624017715454,0.6539999842643738,0.6742817759513855,0.6365588307380676,0.5762952566146851,0.5078173875808716
0.640434205532074,0.6942079663276672,0.635084867477417,0.6524300575256348,0.6010854840278625,0.6420000195503235,0.6745920181274414,0.6519790291786194,0.5495548844337463,0.5791119337081909
0.64552241563797,0.6969559788703918,0.6315370202064514,0.6571428775787354,0.6085481643676758,0.6315000057220459,0.6789534687995911,0.6438376307487488,0.5338020324707031,0.6172608137130737
0.6601085662841797,0.7101808786392212,0.6250468492507935,0.6712626814842224,0.627544105052948,0.6432499885559082,0.6724863648414612,0.6457244753837585,0.5545685291290283,0.5465916395187378
